Variable Label,Variable Name,Variable Type
CA-11 Highest level of education - current wife/female cohabiting partner,CFSPEDUCN,raw
CA-13 Was current wife/female cohabiting partner married before?,CFSPMARBF,raw
CA-15 Number of children together - current wife/female cohabiting partner,NSSKIDTOG,raw
CA-16 How many children together are under age 18 - current wife/female cohabiting partner,SSKIDTOG18,raw
CA-2y Year of marriage to current wife,FMARRDATE_Y,raw
CA-3 R's age when married to current wife,HERAGEFM,raw
CA-4 Ever cohabited premaritally with current wife,LIVTOGFS,raw
CA-5y Year began living together w/ current wife/female cohabiting partner,STRTCFSP_Y,raw
CA-6 R's age when began living together w/ current wife/female cohabiting partner,HERAGEF,raw
CA-7 Engaged when began cohabiting - current wife/female cohabiting partner,ENGATFSP,raw
CA-8 Does R think she will marry current female cohabiting partner?,WILLMARRF,raw
CB-11 Highest Level of Education - 1st Husband,CHEDMARN_1,raw
CB-11 Highest Level of Education - 2nd Husband,CHEDMARN_2,raw
CB-11 Highest Level of Education - 3rd Husband,CHEDMARN_3,raw
CB-11 Highest Level of Education - 4th Husband,CHEDMARN_4,raw
CB-11 Highest Level of Education - 5th Husband,CHEDMARN_5,raw
CB-12 Was He Married Before? - 1st Husband,MARBEFHX_1,raw
CB-12 Was He Married Before? - 2nd Husband,MARBEFHX_2,raw
CB-12 Was He Married Before? - 3rd Husband,MARBEFHX_3,raw
CB-12 Was He Married Before? - 4th Husband,MARBEFHX_4,raw
CB-12 Was He Married Before? - 5th Husband,MARBEFHX_5,raw
CB-13 Did He Have Kids From Prior Relationship? - 1st Husband,KIDSHX_1,raw
CB-13 Did He Have Kids From Prior Relationship? - 2nd Husband,KIDSHX_2,raw
CB-13 Did He Have Kids From Prior Relationship? - 3rd Husband,KIDSHX_3,raw
CB-13 Did He Have Kids From Prior Relationship? - 4th Husband,KIDSHX_4,raw
CB-13 Did He Have Kids From Prior Relationship? - 5th Husband,KIDSHX_5,raw
CB-14 Any Kids From Prior Relationships Live With R & 1st Husband?,KIDLIVHX_1,raw
CB-14 Any Kids From Prior Relationships Live With R & 2nd Husband?,KIDLIVHX_2,raw
CB-14 Any Kids From Prior Relationships Live With R & 3rd Husband?,KIDLIVHX_3,raw
CB-14 Any Kids From Prior Relationships Live With R & 4th Husband?,KIDLIVHX_4,raw
CB-14 Any Kids From Prior Relationships Live With R & 5th Husband?,KIDLIVHX_5,raw
CB-15 Did R have bio kids with this husband? - 1st Husband,BIOHUSBX_1,raw
CB-15 Did R have bio kids with this husband? - 2nd Husband,BIOHUSBX_2,raw
CB-15 Did R have bio kids with this husband? - 3rd Husband,BIOHUSBX_3,raw
CB-15 Did R have bio kids with this husband? - 4th Husband,BIOHUSBX_4,raw
CB-15 Did R have bio kids with this husband? - 5th Husband,BIOHUSBX_5,raw
CB-16 Number of bio kids with this husband - 2nd Husband,BIONUMHX_2,raw
CB-16 Number of bio kids with this husband - 3rd Husband,BIONUMHX_3,raw
CB-16 Number of bio kids with this husband - 4th Husband,BIONUMHX_4,raw
CB-16 Number of bio kids with this husband - 5th Husband,BIONUMHX_5,raw
CB-16 Number of bio kids with this husband? - 1st Husband,BIONUMHX_1,raw
CB-17 How Marriage Ended - 1st Husband,MARENDHX_1,raw
CB-17 How Marriage Ended - 2nd Husband,MARENDHX_2,raw
CB-17 How Marriage Ended - 3rd Husband,MARENDHX_3,raw
CB-17 How Marriage Ended - 4th Husband,MARENDHX_4,raw
CB-17 How Marriage Ended - 5th Husband,MARENDHX_5,raw
CB-18y Year Marriage Ended - 1st Husband,ENDMARRX_Y_1,raw
CB-18y Year Marriage Ended - 2nd Husband,ENDMARRX_Y_2,raw
CB-18y Year Marriage Ended - 3rd Husband,ENDMARRX_Y_3,raw
CB-18y Year Marriage Ended - 4th Husband,ENDMARRX_Y_4,raw
CB-18y Year Marriage Ended - 5th Husband,ENDMARRX_Y_5,raw
CB-19y Year Stopped Living Together - 1st Husband,WNSTPHX_Y_1,raw
CB-19y Year Stopped Living Together - 2nd Husband,WNSTPHX_Y_2,raw
CB-19y Year Stopped Living Together - 3rd Husband,WNSTPHX_Y_3,raw
CB-19y Year Stopped Living Together - 4th Husband,WNSTPHX_Y_4,raw
CB-19y Year Stopped Living Together - 5th Husband,WNSTPHX_Y_5,raw
CB-2b Verify Current Husband's Name,HSBVERIF,raw
CB-3y Year of marriage to 1st husband,WHMARHX_Y_1,raw
CB-3y Year of marriage to 2nd husband,WHMARHX_Y_2,raw
CB-3y Year of marriage to 3rd husband,WHMARHX_Y_3,raw
CB-3y Year of marriage to 4th husband,WHMARHX_Y_4,raw
CB-3y Year of marriage to 5th husband,WHMARHX_Y_5,raw
CB-5 Husband's Age At Marriage - 1st Husband (categorical),HXAGEMAR_1,raw
CB-5 Husband's Age At Marriage - 2nd Husband (categorical),HXAGEMAR_2,raw
CB-5 Husband's Age At Marriage - 3rd Husband (categorical),HXAGEMAR_3,raw
CB-5 Husband's Age At Marriage - 4th Husband (categorical),HXAGEMAR_4,raw
CB-5 Husband's Age At Marriage - 5th Husband (categorical),HXAGEMAR_5,raw
CB-6 Cohabited Before Marriage - 1st Husband,LVTOGHX_1,raw
CB-6 Cohabited Before Marriage - 2nd Husband,LVTOGHX_2,raw
CB-6 Cohabited Before Marriage - 3rd Husband,LVTOGHX_3,raw
CB-6 Cohabited Before Marriage - 4th Husband,LVTOGHX_4,raw
CB-6 Cohabited Before Marriage - 5th Husband,LVTOGHX_5,raw
CB-7y Year Began Premarital Cohabitation - 1st Husband,STRTOGHX_Y_1,raw
CB-7y Year Began Premarital Cohabitation - 2nd Husband,STRTOGHX_Y_2,raw
CB-7y Year Began Premarital Cohabitation - 3rd Husband,STRTOGHX_Y_3,raw
CB-7y Year Began Premarital Cohabitation - 4th Husband,STRTOGHX_Y_4,raw
CB-7y Year Began Premarital Cohabitation - 5th Husband,STRTOGHX_Y_5,raw
CB-8 Engaged When R Began Premarital Cohabitation - 1st Husband,ENGAGHX_1,raw
CB-8 Engaged When R Began Premarital Cohabitation - 2nd Husband,ENGAGHX_2,raw
CB-8 Engaged When R Began Premarital Cohabitation - 3rd Husband,ENGAGHX_3,raw
CB-8 Engaged When R Began Premarital Cohabitation - 4th Husband,ENGAGHX_4,raw
CB-8 Engaged When R Began Premarital Cohabitation - 5th Husband,ENGAGHX_5,raw
CC-10 Was He Married Before? - Current Male Cohabiting Partner,CPMARBEF,raw
CC-11 Did He Have Kids from Prior Relationships? - Current Male Cohabiting Partner,CPKIDS,raw
CC-12 Kids From Prior Relationships Live w/ R & Current Male Cohabiting Partner,CPKIDLIV,raw
CC-13 Does R have bio kids with current male cohabing partner?,BIOCP,raw
CC-14 Number of bio kids with current male cohabiting partner,BIONUMCP,raw
CC-2y Year Began Cohabitation - Current Male Cohabiting Partner,WNSTRTCP_Y,raw
CC-3 R's Age When Began Cohabiting w/ Current Male Cohabiting Partner,CPHERAGE,raw
CC-4 Partner's Age When Began Cohabiting - Current Male Cohabiting Partner,CPHISAGE,raw
CC-5 Engaged When Began Cohabiting - Current Male Cohabiting Partner,CPENGAG1,raw
CC-6 Does R think she will marry current male cohabiting partner?,WILLMARR,raw
CC-9 Level of Education - Current Male Cohabiting Partner,CPEDUC,raw
CD-1 Ever Cohabited With Any (Other) Man,LIVEOTH,raw
CD-10 Did R have bio kids with 1st male former cohab partner?,BIOFCP1,raw
CD-11 Number of bio kids with 1st male former cohab partner,BIONUMC1,raw
CD-12y Year Stopped Cohabition - 1st Male Former Cohab Partner,STPTOGC1_Y,raw
CD-4y Year Began Cohabition - 1st Male Former Cohab Partner,STRTOTH1_Y,raw
CD-5 R's Age When Began Cohabiting With 1st Male Former Partner,HERAGEC1,raw
CD-6 Partner's Age When Began Cohabiting - 1st Male Former Cohab Partner,HISAGEC1,raw
CD-7 Engaged When Began Cohabiting - 1st Male Former Cohab Partner,ENGAG1C1,raw
CD-8 Was He Married Before? - 1st Male Former Cohab Partner,MAREVC1,raw
CD-9 Did He Have Kids From Prior Relationships? - 1st Male Former Cohab Partner,C1KIDS,raw
CE-1 Ever Had Sex With a Male,EVERSEX,raw
CE-2 Main Reason R Has Not Had Sex With a Man,YNOSEX,raw
CE-8 Grade R Was in at First Sexual Intercourse (bottom-coded),GRFSTSX,raw
Central number of additional births expected,ADDEXP,recode
Century month began method(s) reported in Jan yyyy (FC E-49),CMDATBEGIN,computed
Century month for 1 year prior to interview (computed in FC A-1),CMLSTYR,computed
Century month for date first used a method (if not at first sex) (FC E-20),CMFSTUSE,computed
Century month for date of ending month of method calendar (FC E-39),CMENDMC,computed
Century month for date of interview (computed in FC A-1),CMINTVW,computed
Century month for date of starting month of method calendar (FC E-39),CMSTRTMC,computed
Century month of April [interview yr] in the method history calendar (FC E-44),CMMHCALX40,computed
Century month of April [interview yr-1] in the method history calendar (FC E-44),CMMHCALX28,computed
Century month of April [interview yr-2] in the method history calendar (FC E-44),CMMHCALX16,computed
Century month of April [interview yr-3] in the method history calendar (FC E-44),CMMHCALX4,computed
Century month of Aug [interview yr] in the method history calendar (FC E-44),CMMHCALX44,computed
Century month of Aug [interview yr-1] in the method history calendar (FC E-44),CMMHCALX32,computed
Century month of Aug [interview yr-2] in the method history calendar (FC E-44),CMMHCALX20,computed
Century month of Aug [interview yr-3] in the method history calendar (FC E-44),CMMHCALX8,computed
Century month of Dec [interview yr] in the method history calendar (FC E-44),CMMHCALX48,computed
Century month of Dec [interview yr-1] in the method history calendar (FC E-44),CMMHCALX36,computed
Century month of Dec [interview yr-2] in the method history calendar (FC E-44),CMMHCALX24,computed
Century month of Dec [interview yr-3] in the method history calendar (FC E-44),CMMHCALX12,computed
Century month of Feb [interview yr] in the method history calendar (FC E-44),CMMHCALX38,computed
Century month of Feb [interview yr-1] in the method history calendar (FC E-44),CMMHCALX26,computed
Century month of Feb [interview yr-2] in the method history calendar (FC E-44),CMMHCALX14,computed
Century month of Feb [interview yr-3] in the method history calendar (FC E-44),CMMHCALX2,computed
Century month of interview - 5 yrs (computed in FC A-1),CMFIVYR,computed
Century month of Jan [interview yr] in the method history calendar (FC E-44),CMMHCALX37,computed
Century month of Jan [interview yr-1] in the method history calendar (FC E-44),CMMHCALX25,computed
Century month of Jan [interview yr-2] in the method history calendar (FC E-44),CMMHCALX13,computed
Century month of Jan [interview yr-3] in the method history calendar (FC E-44),CMMHCALX1,computed
Century month of January (Current Year - 3) (computed in FC A-1),CMJAN3YR,computed
Century month of January (Current Year - 5) (computed in FC A-1),CMJAN5YR,computed
Century Month of January Four Years Prior to Year of Interview (computed in FC A-1),CMJAN4YR,computed
Century month of July [interview yr] in the method history calendar (FC E-44),CMMHCALX43,computed
Century month of July [interview yr-1] in the method history calendar (FC E-44),CMMHCALX31,computed
Century month of July [interview yr-2] in the method history calendar (FC E-44),CMMHCALX19,computed
Century month of July [interview yr-3] in the method history calendar (FC E-44),CMMHCALX7,computed
Century month of June [interview yr] in the method history calendar (FC E-44),CMMHCALX42,computed
Century month of June [interview yr-1] in the method history calendar (FC E-44),CMMHCALX30,computed
Century month of June [interview yr-2] in the method history calendar (FC E-44),CMMHCALX18,computed
Century month of June [interview yr-3] in the method history calendar (FC E-44),CMMHCALX6,computed
Century month of March [interview yr] in the method history calendar (FC E-44),CMMHCALX39,computed
Century month of March [interview yr-1] in the method history calendar (FC E-44),CMMHCALX27,computed
Century month of March [interview yr-2] in the method history calendar (FC E-44),CMMHCALX15,computed
Century month of March [interview yr-3] in the method history calendar (FC E-44),CMMHCALX3,computed
Century month of May [interview yr] in the method history calendar (FC E-44),CMMHCALX41,computed
Century month of May [interview yr-1] in the method history calendar (FC E-44),CMMHCALX29,computed
Century month of May [interview yr-2] in the method history calendar (FC E-44),CMMHCALX17,computed
Century month of May [interview yr-3] in the method history calendar (FC E-44),CMMHCALX5,computed
Century month of Nov [interview yr] in the method history calendar (FC E-44),CMMHCALX47,computed
Century month of Nov [interview yr-1] in the method history calendar (FC E-44),CMMHCALX35,computed
Century month of Nov [interview yr-2] in the method history calendar (FC E-44),CMMHCALX23,computed
Century month of Nov [interview yr-3] in the method history calendar (FC E-44),CMMHCALX11,computed
Century month of Oct [interview yr] in the method history calendar (FC E-44),CMMHCALX46,computed
Century month of Oct [interview yr-1] in the method history calendar (FC E-44),CMMHCALX34,computed
Century month of Oct [interview yr-2] in the method history calendar (FC E-44),CMMHCALX22,computed
Century month of Oct [interview yr-3] in the method history calendar (FC E-44),CMMHCALX10,computed
Century month of Sept [interview yr] in the method history calendar (FC E-44),CMMHCALX45,computed
Century month of Sept [interview yr-1] in the method history calendar (FC E-44),CMMHCALX33,computed
Century month of Sept [interview yr-2] in the method history calendar (FC E-44),CMMHCALX21,computed
Century month of Sept [interview yr-3] in the method history calendar (FC E-44),CMMHCALX9,computed
"Century month of this entry in the months of nonintercourse series (Apr, intvw yr) (FC E-34a)",CMMONSX40,computed
"Century month of this entry in the months of nonintercourse series (Apr, intvw yr-1) (FC E-34a)",CMMONSX28,computed
"Century month of this entry in the months of nonintercourse series (Apr, intvw yr-2) (FC E-34a)",CMMONSX16,computed
"Century month of this entry in the months of nonintercourse series (Apr, intvw yr-3) (FC E-34a)",CMMONSX4,computed
"Century month of this entry in the months of nonintercourse series (Aug, intvw yr) (FC E-34a)",CMMONSX44,computed
"Century month of this entry in the months of nonintercourse series (Aug, intvw yr-1) (FC E-34a)",CMMONSX32,computed
"Century month of this entry in the months of nonintercourse series (Aug, intvw yr-2) (FC E-34a)",CMMONSX20,computed
"Century month of this entry in the months of nonintercourse series (Aug, intvw yr-3) (FC E-34a)",CMMONSX8,computed
"Century month of this entry in the months of nonintercourse series (Dec, intvw yr) (FC E-34a)",CMMONSX48,computed
"Century month of this entry in the months of nonintercourse series (Dec, intvw yr-1) (FC E-34a)",CMMONSX36,computed
"Century month of this entry in the months of nonintercourse series (Dec, intvw yr-2) (FC E-34a)",CMMONSX24,computed
"Century month of this entry in the months of nonintercourse series (Dec, intvw yr-3) (FC E-34a)",CMMONSX12,computed
"Century month of this entry in the months of nonintercourse series (Feb, intvw yr-1) (FC E-34a)",CMMONSX26,computed
"Century month of this entry in the months of nonintercourse series (Feb, intvw yr-1) (FC E-34a)",CMMONSX38,computed
"Century month of this entry in the months of nonintercourse series (Feb, intvw yr-2) (FC E-34a)",CMMONSX14,computed
"Century month of this entry in the months of nonintercourse series (Feb, intvw yr-3) (FC E-34a)",CMMONSX2,computed
"Century month of this entry in the months of nonintercourse series (Jan, intvw yr) (FC E-34a)",CMMONSX37,computed
"Century month of this entry in the months of nonintercourse series (Jan, intvw yr-1) (FC E-34a)",CMMONSX25,computed
"Century month of this entry in the months of nonintercourse series (Jan, intvw yr-2) (FC E-34a)",CMMONSX13,computed
"Century month of this entry in the months of nonintercourse series (Jan, intvw yr-3) (FC E-34a)",CMMONSX,computed
"Century month of this entry in the months of nonintercourse series (July, intvw yr) (FC E-34a)",CMMONSX43,computed
"Century month of this entry in the months of nonintercourse series (July, intvw yr-1) (FC E-34a)",CMMONSX31,computed
"Century month of this entry in the months of nonintercourse series (July, intvw yr-2) (FC E-34a)",CMMONSX19,computed
"Century month of this entry in the months of nonintercourse series (July, intvw yr-3) (FC E-34a)",CMMONSX7,computed
"Century month of this entry in the months of nonintercourse series (June, intvw yr) (FC E-34a)",CMMONSX42,computed
"Century month of this entry in the months of nonintercourse series (June, intvw yr-1) (FC E-34a)",CMMONSX30,computed
"Century month of this entry in the months of nonintercourse series (June, intvw yr-2) (FC E-34a)",CMMONSX18,computed
"Century month of this entry in the months of nonintercourse series (June, intvw yr-3) (FC E-34a)",CMMONSX6,computed
"Century month of this entry in the months of nonintercourse series (Mar, intvw yr) (FC E-34a)",CMMONSX39,computed
"Century month of this entry in the months of nonintercourse series (Mar, intvw yr-1) (FC E-34a)",CMMONSX27,computed
"Century month of this entry in the months of nonintercourse series (Mar, intvw yr-2) (FC E-34a)",CMMONSX15,computed
"Century month of this entry in the months of nonintercourse series (Mar, intvw yr-3) (FC E-34a)",CMMONSX3,computed
"Century month of this entry in the months of nonintercourse series (May, intvw yr) (FC E-34a)",CMMONSX41,computed
"Century month of this entry in the months of nonintercourse series (May, intvw yr-1) (FC E-34a)",CMMONSX29,computed
"Century month of this entry in the months of nonintercourse series (May, intvw yr-2) (FC E-34a)",CMMONSX17,computed
"Century month of this entry in the months of nonintercourse series (May, intvw yr-3) (FC E-34a)",CMMONSX5,computed
"Century month of this entry in the months of nonintercourse series (Nov, intvw yr) (FC E-34a)",CMMONSX47,computed
"Century month of this entry in the months of nonintercourse series (Nov, intvw yr-1) (FC E-34a)",CMMONSX35,computed
"Century month of this entry in the months of nonintercourse series (Nov, intvw yr-2) (FC E-34a)",CMMONSX23,computed
"Century month of this entry in the months of nonintercourse series (Nov, intvw yr-3) (FC E-34a)",CMMONSX11,computed
"Century month of this entry in the months of nonintercourse series (Oct, intvw yr) (FC E-34a)",CMMONSX46,computed
"Century month of this entry in the months of nonintercourse series (Oct, intvw yr-1) (FC E-34a)",CMMONSX34,computed
"Century month of this entry in the months of nonintercourse series (Oct, intvw yr-2) (FC E-34a)",CMMONSX22,computed
"Century month of this entry in the months of nonintercourse series (Oct, intvw yr-3) (FC E-34a)",CMMONSX10,computed
"Century month of this entry in the months of nonintercourse series (Sept, intvw yr) (FC E-34a)",CMMONSX45,computed
"Century month of this entry in the months of nonintercourse series (Sept, intvw yr-1) (FC E-34a)",CMMONSX33,computed
"Century month of this entry in the months of nonintercourse series (Sept, intvw yr-2) (FC E-34a)",CMMONSX21,computed
"Century month of this entry in the months of nonintercourse series (Sept, intvw yr-3) (FC E-34a)",CMMONSX9,computed
CF-1 Sex Ed Topics R Has Discussed with Parents -1st Mention,TALKPAR1,raw
CF-1 Sex Ed Topics R Has Discussed with Parents -2nd Mention,TALKPAR2,raw
CF-1 Sex Ed Topics R Has Discussed with Parents -3rd Mention,TALKPAR3,raw
CF-1 Sex Ed Topics R Has Discussed with Parents -4th Mention,TALKPAR4,raw
CF-1 Sex Ed Topics R Has Discussed with Parents -5th Mention,TALKPAR5,raw
CF-1 Sex Ed Topics R Has Discussed with Parents -6th Mention,TALKPAR6,raw
CF-1 Sex Ed Topics R Has Discussed with Parents -7th Mention,TALKPAR7,raw
CF-10 R recd Instruction-Where to Get Birth Control before/after 1st sex,SEDWBCSX,raw
CF-11 Formal Sex Ed Before 18: How to Use a Condom,SEDCOND,raw
CF-11a Place where received instructions on How to Use a Condom-1st Mention,SEDCONLC1,raw
CF-11a Place where received instructions on How to Use a Condom-2nd Mention,SEDCONLC2,raw
CF-11a Place where received instructions on How to Use a Condom-3rd Mention,SEDCONLC3,raw
CF-11a Place where received instructions on How to Use a Condom-4th Mention,SEDCONLC4,raw
CF-12 Rs Grade When Received Instruction on How to Use a Condom,SEDCONDG,raw
CF-13 R recd Instruction-How to Use a Condom before/after 1st sex,SEDCONSX,raw
CF-14 Formal Sex Ed Before 18: STDs,SEDSTD,raw
CF-14a Place where received instructions on STDs-1st Mention,SEDSTDLC1,raw
CF-14a Place where received instructions on STDs-2nd Mention,SEDSTDLC2,raw
CF-14a Place where received instructions on STDs-3rd Mention,SEDSTDLC3,raw
CF-14a Place where received instructions on STDs-4th Mention,SEDSTDLC4,raw
CF-15 Rs Grade When Received Instruction on STDs,SEDSTDG,raw
CF-16 Recd Sex Ed on STDs Before/After 1st Sex,SEDSTDSX,raw
CF-17 Formal Sex Ed Before 18: preventing HIV/AIDS,SEDHIV,raw
CF-17a Place where received instructions on how to prevent HIV/AIDS-1st Mention,SEDHIVLC1,raw
CF-17a Place where received instructions on how to prevent HIV/AIDS-2nd Mention,SEDHIVLC2,raw
CF-17a Place where received instructions on how to prevent HIV/AIDS-3rd Mention,SEDHIVLC3,raw
CF-17a Place where received instructions on how to prevent HIV/AIDS-4th Mention,SEDHIVLC4,raw
CF-18 Rs Grade When Received Instruction on preventing HIV/AIDS,SEDHIVG,raw
CF-19 Recd Sex Ed on preventing HIV/AIDS Before/After 1st Sex,SEDHIVSX,raw
CF-2 Formal Sex Ed Before 18: How to Say No to Sex,SEDNO,raw
CF-20 Formal Sex Ed Before 18: Waiting Until Marriage,SEDABST,raw
CF-20a Place where received instruction about waiting until marriage to have sex-1st Mention,SEDABLC1,raw
CF-20a Place where received instruction about waiting until marriage to have sex-2nd Mention,SEDABLC2,raw
CF-20a Place where received instruction about waiting until marriage to have sex-3rd Mention,SEDABLC3,raw
CF-20a Place where received instruction about waiting until marriage to have sex-4th Mention,SEDABLC4,raw
CF-21 Rs Grade When Received Instruction on Waiting Until Marriage,SEDABSTG,raw
CF-22 R recd instruction-Waiting Until Marriage before/after 1st sex,SEDABSSX,raw
CF-2a Place where received instructions on how to say no to sex-1st Mention,SEDNOLC1,raw
CF-2a Place where received instructions on how to say no to sex-2nd Mention,SEDNOLC2,raw
CF-2a Place where received instructions on how to say no to sex-3rd Mention,SEDNOLC3,raw
CF-2a Place where received instructions on how to say no to sex-4th Mention,SEDNOLC4,raw
CF-3 Grade R Received Sex Ed on How to Say No to Sex,SEDNOG,raw
CF-4 Recd Sex Ed on How to Say No to Sex Before/After 1st Sex,SEDNOSX,raw
CF-5 Formal Sex Ed Before 18: Methods of Birth Control,SEDBC,raw
CF-5a Place where received instruction about methods of birth control-1st Mention,SEDBCLC1,raw
CF-5a Place where received instruction about methods of birth control-2nd Mention,SEDBCLC2,raw
CF-5a Place where received instruction about methods of birth control-3rd Mention,SEDBCLC3,raw
CF-5a Place where received instruction about methods of birth control-4th Mention,SEDBCLC4,raw
CF-6 Rs Grade When Received Instruction on Birth Control,SEDBCG,raw
CF-7 Recd Sex Ed on Birth Control Methods Before/After 1st Sex,SEDBCSX,raw
CF-8 Formal Sex Ed Before 18: Where to Get Birth Control,SEDWHBC,raw
CF-8a Place where received instructions on Where to Get Birth Control-1st Mention,SEDWHLC1,raw
CF-8a Place where received instructions on Where to Get Birth Control-2nd Mention,SEDWHLC2,raw
CF-8a Place where received instructions on Where to Get Birth Control-3rd Mention,SEDWHLC3,raw
CF-8a Place where received instructions on Where to Get Birth Control-4th Mention,SEDWHLC4,raw
CF-9 Rs Grade When Received Instruction on Where to Get Birth Control,SEDWHBCG,raw
CG-2 1st Partner Already Discussed as a Husband or Cohab Partner,SAMEMAN,raw
CG-3 Who Was Rs First Sexual Partner,WHOFSTPR,raw
